% time	cellId	IMSI	RNTI	frame	sframe	scPrdStartFr	scPrdStartSf	resPscch	sizeTb	pscchRbLen	pscchStartRb	hopping	hoppingInfo	psschRbLen	psschStartRb	iTrp	mcs	l1GroupDstId	dropped
3963	0	2	2	397	8	397	1	13	6	1	29	0	255	10	8	0	16	255	0
3996	0	1	1	401	1	401	1	7	6	1	28	0	255	10	21	0	16	255	0
3996	0	3	3	401	1	401	1	21	6	1	30	0	255	10	29	0	16	255	0
3998	0	2	2	401	3	401	1	44	6	1	33	0	255	10	1	0	16	255	0
4000	0	2	2	401	5	401	1	44	6	1	5	0	255	10	1	0	16	255	0
4001	0	3	3	401	6	401	1	21	6	1	2	0	255	10	29	0	16	255	0
4003	0	1	1	401	8	401	1	7	6	1	0	0	255	10	21	0	16	255	0
4037	0	1	1	405	2	405	1	43	6	1	33	0	255	10	6	0	16	255	0
4038	0	2	2	405	3	405	1	79	6	1	37	0	255	10	29	0	16	255	0
4039	0	1	1	405	4	405	1	43	6	1	5	0	255	10	6	0	16	255	0
4043	0	2	2	405	8	405	1	79	6	1	9	0	255	10	29	0	16	255	0
4078	0	1	1	409	3	409	1	10	6	1	1	0	255	10	7	0	16	255	0
4078	0	2	2	409	3	409	1	149	6	1	46	0	255	10	11	0	16	255	0
4080	0	1	1	409	5	409	1	10	6	1	29	0	255	10	7	0	16	255	0
4081	0	2	2	409	6	409	1	149	6	1	18	0	255	10	11	0	16	255	0
4117	0	2	2	413	2	413	1	99	6	1	40	0	255	10	28	0	16	255	0
4118	0	1	1	413	3	413	1	18	6	1	2	0	255	10	23	0	16	255	0
4119	0	2	2	413	4	413	1	99	6	1	12	0	255	10	28	0	16	255	0
4119	0	4	4	413	4	413	1	131	6	1	16	0	255	10	24	0	16	255	0
4121	0	1	1	413	6	413	1	18	6	1	30	0	255	10	23	0	16	255	0
4122	0	4	4	413	7	413	1	131	6	1	44	0	255	10	24	0	16	255	0
4158	0	1	1	417	3	417	1	86	6	1	38	0	255	10	38	0	16	255	0
4158	0	2	2	417	3	417	1	79	6	1	37	0	255	10	13	0	16	255	0
4162	0	1	1	417	7	417	1	86	6	1	10	0	255	10	38	0	16	255	0
4163	0	2	2	417	8	417	1	79	6	1	9	0	255	10	13	0	16	255	0
4196	0	2	2	421	1	421	1	42	6	1	33	0	255	10	2	0	16	255	0
4197	0	1	1	421	2	421	1	121	6	1	15	0	255	10	35	0	16	255	0
4198	0	2	2	421	3	421	1	42	6	1	5	0	255	10	2	0	16	255	0
4199	0	1	1	421	4	421	1	121	6	1	43	0	255	10	35	0	16	255	0
4201	0	3	3	421	6	421	1	61	6	1	7	0	255	10	20	0	16	255	0
4202	0	3	3	421	7	421	1	61	6	1	35	0	255	10	20	0	16	255	0
4238	0	1	1	425	3	425	1	51	6	1	34	0	255	10	12	0	16	255	0
4239	0	1	1	425	4	425	1	51	6	1	6	0	255	10	12	0	16	255	0
4239	0	2	2	425	4	425	1	11	6	1	1	0	255	10	1	0	16	255	0
4241	0	2	2	425	6	425	1	11	6	1	29	0	255	10	1	0	16	255	0
4241	0	3	3	425	6	425	1	69	6	1	8	0	255	10	8	0	16	255	0
4243	0	3	3	425	8	425	1	69	6	1	36	0	255	10	8	0	16	255	0
4276	0	2	2	429	1	429	1	21	6	1	30	0	255	10	6	0	16	255	0
4277	0	1	1	429	2	429	1	162	6	1	48	0	255	10	0	0	16	255	0
4278	0	1	1	429	3	429	1	162	6	1	20	0	255	10	0	0	16	255	0
4281	0	2	2	429	6	429	1	21	6	1	2	0	255	10	6	0	16	255	0
4318	0	2	2	433	3	433	1	44	6	1	33	0	255	10	12	0	16	255	0
4318	0	3	3	433	3	433	1	66	6	1	8	0	255	10	2	0	16	255	0
4320	0	2	2	433	5	433	1	44	6	1	5	0	255	10	12	0	16	255	0
4320	0	3	3	433	5	433	1	66	6	1	36	0	255	10	2	0	16	255	0
4321	0	1	1	433	6	433	1	125	6	1	15	0	255	10	14	0	16	255	0
4323	0	1	1	433	8	433	1	125	6	1	43	0	255	10	14	0	16	255	0
4356	0	1	1	437	1	437	1	128	6	1	16	0	255	10	20	0	16	255	0
4356	0	2	2	437	1	437	1	14	6	1	29	0	255	10	22	0	16	255	0
4358	0	5	5	437	3	437	1	130	6	1	16	0	255	10	4	0	16	255	0
4359	0	1	1	437	4	437	1	128	6	1	44	0	255	10	20	0	16	255	0
4360	0	3	3	437	5	437	1	60	6	1	7	0	255	10	0	0	16	255	0
4361	0	3	3	437	6	437	1	60	6	1	35	0	255	10	0	0	16	255	0
4361	0	4	4	437	6	437	1	166	6	1	48	0	255	10	21	0	16	255	0
4361	0	5	5	437	6	437	1	130	6	1	44	0	255	10	4	0	16	255	0
4362	0	2	2	437	7	437	1	14	6	1	1	0	255	10	22	0	16	255	0
4362	0	4	4	437	7	437	1	166	6	1	20	0	255	10	21	0	16	255	0
4397	0	2	2	441	2	441	1	71	6	1	36	0	255	10	22	0	16	255	0
4401	0	1	1	441	6	441	1	173	6	1	21	0	255	10	0	0	16	255	0
4402	0	1	1	441	7	441	1	173	6	1	49	0	255	10	0	0	16	255	0
4403	0	2	2	441	8	441	1	71	6	1	8	0	255	10	22	0	16	255	0
4440	0	1	1	445	5	445	1	116	6	1	14	0	255	10	1	0	16	255	0
4440	0	2	2	445	5	445	1	172	6	1	21	0	255	10	29	0	16	255	0
4441	0	1	1	445	6	445	1	116	6	1	42	0	255	10	1	0	16	255	0
4441	0	2	2	445	6	445	1	172	6	1	49	0	255	10	29	0	16	255	0
4476	0	1	1	449	1	449	1	42	6	1	33	0	255	10	2	0	16	255	0
4476	0	4	4	449	1	449	1	152	6	1	19	0	255	10	1	0	16	255	0
