% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb
3368	0	5	3	0	16	389	0	1	0	1.71295
3368	0	5	4	0	16	389	0	1	0	5.2835
3376	0	5	1	0	16	389	1	0	0	0.0855417
3376	0	5	2	0	16	389	1	0	0	0.364577
3376	0	5	3	0	16	389	1	0	0	1.71295
3376	0	5	4	0	16	389	1	0	0	5.2835
3384	0	5	1	0	16	389	2	0	0	0.0855417
3384	0	5	2	0	16	389	2	0	0	0.364577
3384	0	5	3	0	16	389	2	0	1	1.71295
3384	0	5	4	0	16	389	2	0	0	5.2835
3392	0	5	1	0	16	389	3	0	0	0.0855417
3392	0	5	2	0	16	389	3	0	0	0.364577
3392	0	5	3	0	16	389	3	0	1	1.71295
3392	0	5	4	0	16	389	3	0	0	5.2835
3408	0	3	1	0	16	389	0	1	0	1.35975
3408	0	3	2	0	16	389	0	1	0	4.84994
3408	0	4	1	0	16	389	0	1	0	0.345479
3408	0	4	2	0	16	389	0	1	0	0.511205
3408	0	5	1	0	16	389	0	1	0	0.158591
3408	0	5	2	0	16	389	0	1	0	0.357841
3416	0	3	1	0	16	389	1	0	0	1.35975
3416	0	3	2	0	16	389	1	0	0	4.84994
3416	0	4	1	0	16	389	1	0	0	0.345479
3416	0	4	2	0	16	389	1	0	0	0.511205
3416	0	5	1	0	16	389	1	0	0	0.158591
3416	0	5	2	0	16	389	1	0	0	0.357841
3424	0	3	1	0	16	389	2	0	0	1.35975
3424	0	3	2	0	16	389	2	0	0	4.84994
3424	0	4	1	0	16	389	2	0	0	0.345479
3424	0	4	2	0	16	389	2	0	0	0.511205
3424	0	5	1	0	16	389	2	0	0	0.158591
3424	0	5	2	0	16	389	2	0	0	0.357841
3432	0	3	1	0	16	389	3	0	0	1.35975
3432	0	3	2	0	16	389	3	0	0	4.84994
3432	0	4	1	0	16	389	3	0	0	0.345479
3432	0	4	2	0	16	389	3	0	0	0.511205
3432	0	5	1	0	16	389	3	0	0	0.158591
3432	0	5	2	0	16	389	3	0	0	0.357841
3448	0	3	1	0	16	389	0	1	0	1.12428
3448	0	3	2	0	16	389	0	1	0	4.4022
3448	0	4	1	0	16	389	0	1	0	0.332746
3448	0	4	2	0	16	389	0	1	0	0.497734
3448	0	5	1	0	16	389	0	1	0	0.154412
3448	0	5	2	0	16	389	0	1	0	0.35335
3456	0	3	1	0	16	389	1	0	0	1.12428
3456	0	3	2	0	16	389	1	0	0	4.4022
3456	0	4	1	0	16	389	1	0	0	0.332746
3456	0	4	2	0	16	389	1	0	0	0.497734
3456	0	5	1	0	16	389	1	0	0	0.154412
3456	0	5	2	0	16	389	1	0	0	0.35335
3464	0	3	1	0	16	389	2	0	0	1.12428
3464	0	3	2	0	16	389	2	0	0	4.4022
3464	0	4	1	0	16	389	2	0	0	0.332746
3464	0	4	2	0	16	389	2	0	0	0.497734
3464	0	5	1	0	16	389	2	0	0	0.154412
3464	0	5	2	0	16	389	2	0	0	0.35335
3472	0	3	1	0	16	389	3	0	0	1.12428
3472	0	3	2	0	16	389	3	0	0	4.4022
3472	0	4	1	0	16	389	3	0	0	0.332746
3472	0	4	2	0	16	389	3	0	0	0.497734
3472	0	5	1	0	16	389	3	0	0	0.154412
3472	0	5	2	0	16	389	3	0	0	0.35335
3488	0	3	1	0	16	389	0	1	0	0.535605
3488	0	3	2	0	16	389	0	1	0	3.28285
3488	0	4	1	0	16	389	0	1	0	0.300916
